Date Time Latitude Longitude Elevation TimeDelta DistanceDelta Speed Slope ElevationDelta Bearing
2016-07-13 17:07:30 40.3870644327 -4.24622990191 705.8 1.0 3.75667320288 13.6381835867 4.10141986265 0.0 308.697489083
2016-07-13 17:07:31 40.3870862257 -4.24626485445 705.8 1.0 3.82566516713 13.6573910599 4.43527019138 0.0 309.303149409
2016-07-13 17:07:32 40.3871075995 -4.24629972316 706.0 1.0 3.79078420315 13.7036825599 4.45137533434 0.2 308.826085428
2016-07-13 17:07:33 40.3871294763 -4.24633509479 705.8 1.0 3.85906413413 13.7592373044 4.58009902813 -0.2 309.076428805
2016-07-13 17:07:34 40.3871521074 -4.24636954442 706.0 1.0 3.85301443179 13.8191300087 4.54299326121 0.2 310.777007658
2016-07-13 17:07:35 40.3871748224 -4.24640332349 706.4 1.0 3.81634964176 13.854888056 4.60258981758 0.4 311.439867277
2016-07-13 17:07:36 40.3871966992 -4.24643877894 706.8 1.0 3.86457545876 13.879975978 4.58375805681 0.4 309.010111642
2016-07-13 17:07:37 40.3872182406 -4.24647364765 707.0 1.0 3.8024949879 13.882029076 4.5083746949 0.2 309.044947448
2016-07-13 17:07:38 40.387239363 -4.24650876783 707.2 1.0 3.79000396054 13.8414609751 4.57683640357 0.2 308.294970036
2016-07-13 17:07:39 40.3872593958 -4.24654497765 707.2 1.0 3.79040791359 13.4874728939 4.74385446024 0.0 305.992428796
2016-07-13 17:07:40 40.3872795962 -4.24658001401 707.6 1.0 3.7216739558 13.3021337542 4.82071941297 0.4 307.12389302
2016-07-13 17:07:41 40.3872988746 -4.24661337398 707.6 1.0 3.54659248671 13.0593505331 4.67320149069 0.0 307.187661559
2016-07-13 17:07:42 40.3873180691 -4.24664547667 708.0 1.0 3.45659426471 12.776151101 5.09670107383 0.4 308.131503915
2016-07-13 17:07:43 40.3873375989 -4.24667766318 708.2 1.0 3.48528683209 12.4750209855 4.88685779649 0.2 308.541539077
2016-07-13 17:07:44 40.3873575479 -4.24670884386 708.6 1.0 3.44885390064 12.2242647599 4.92939789453 0.4 310.029059207
2016-07-13 17:07:45 40.3873776644 -4.24674019217 708.8 1.0 3.47171799139 12.063678057 5.13134168308 0.2 310.113920583
